COD,cantidad,PRECIO
396223,12,12400
396224,12,12400
396225,12,15800
396227,12,31200
396228,12,32400
396229,12,32400
379622,12,5900
379625,8,9900
379627,12,7200
379633,8,10900
379634,18,8200
379643,12,8300
379648,6,19600
386954,4,17900
386956,4,24200
386958,4,28800
386974,3,39400
386975,3,39400
394168,12,9800
394169,12,9300
394170,8,17800
394185,4,24600
394186,8,17100
394187,6,16900
394694,48,4900
394695,48,2600
394696,216,550
394759,72,1164
394760,72,984
394765,8,4775.81
394766,24,1977.13
394771,8,4775.81
394772,4,3782.73
394774,12,2518.81
394778,96,713.21
394779,24,2518.81
378123,24,3200
378124,24,6600
378126,8,11200
378127,12,7200
378128,6,17100
379737,4,15900
379738,3,22100
379739,3,23900
379741,3,21200
377536,36,1345
377547,36,1345
386372,40,14800
381855,48,3400
381858,48,3400
381859,24,3400
381862,24,3800
374924,24,893.77
391068,4,22300
391069,36,5900
391070,3,19600
391071,8,11700
391072,24,5900
391073,36,5500
391074,8,16500
391075,16,10500
391076,24,9800
391077,36,6400
391078,8,18900
391079,36,4900
391080,24,6600
391081,36,5600
381937,40,9600
381938,60,5300
371815,8,5498.05
376601,24,6400
376603,6,10700
376608,6,23200
376609,24,6700
376610,24,6200
376612,12,10700
390241,8,5227.21
390242,12,3963.29
390245,9,5227.21
390246,12,3963.29
390249,8,5227.21
390250,12,3963.29
390337,8,8600
390338,8,11800
390339,8,16900
390340,8,6300
390341,8,10300
390342,8,15700
390343,8,4600
390344,8,6900
390345,8,10500
390346,8,14200
396602,72,360
396603,24,596
396604,24,550
396605,24,390
396606,240,70
396607,240,100
396609,240,100
611161,84,3500
393725,48,1796.57
393726,48,1796.57
393727,48,1796.57
393728,48,1796.57
393729,48,1796.57
393730,48,1796.57
389834,12,7900
389835,18,7400
389836,24,5800
389837,72,2900
389838,6,5400
376392,6,9380.09
376721,8,4200
380701,8,3400
