cod_indicador,cod_entidad,mon_gastototal,mon_ventatotal,fecha_mes,sessionficha,sessionflag
20170101080000,400,8480072.91,366137930,201611,NULL,NULL
20170101080001,401,4518889.55,56222561,201611,NULL,NULL
20170101080002,405,4692235.88,174422620,201611,NULL,NULL
20170101080003,410,24005726.45,119494858,201611,NULL,NULL
20170101080004,415,701407.31,21521177,201611,NULL,NULL
20170101080005,420,1021681.35,0,201611,NULL,NULL
20170101080006,425,5361874.42,147226228,201611,NULL,NULL
20170101080007,435,4339178.11,32453761,201611,NULL,NULL
20170101080008,445,8058979.80,270972972,201611,NULL,NULL
20170101080009,450,9516006.29,27750592,201611,NULL,NULL
20170101080010,460,2992380.60,144867333,201611,NULL,NULL
20170101080011,465,1149107.04,34997276,201611,NULL,NULL
20170101080012,470,5589065.96,106503562,201611,NULL,NULL
20170101080013,480,3895363.12,36171979,201611,NULL,NULL
20170101080014,505,2358243.68,20485527,201611,NULL,NULL
20170101080015,510,1769087.40,22173671,201611,NULL,NULL
20170101080016,515,9969548.09,141776971,201611,NULL,NULL
20170101080017,517,2382640.89,54598676,201611,NULL,NULL
20170101080018,520,2828227.81,39892269,201611,NULL,NULL
20170101080019,525,1672.65,0,201611,NULL,NULL
20170101080020,530,11950443.03,270464132,201611,NULL,NULL
20170101080021,535,37418664.47,92645674,201611,NULL,NULL
20170101080022,540,4070893.54,54512473,201611,NULL,NULL
20170101080023,600,1002139.49,9739619,201611,NULL,NULL
20170101080024,605,1969197.95,25256321,201611,NULL,NULL
20170101080025,620,1773999.39,17769231,201611,NULL,NULL
20170101080026,625,4647260.25,154227951,201611,NULL,NULL
20170101080027,630,10463015.20,148382757,201611,NULL,NULL
20170101080028,631,357911.40,0,201611,NULL,NULL
20170101080029,635,2583560.64,36610087,201611,NULL,NULL
20170101080030,640,5880701.51,92995889,201611,NULL,NULL
20170101080031,705,4522861.25,62878231,201611,NULL,NULL
20170101080032,710,3223874.38,44658486,201611,NULL,NULL
20170101080033,715,66509004.91,127185765,201611,NULL,NULL
20170101080034,720,9266355.73,57895291,201611,NULL,NULL
20170101080035,725,3822269.37,33446332,201611,NULL,NULL
20170101080036,730,7011906.05,95823290,201611,NULL,NULL
20170101080037,740,4197082.14,112057554,201611,NULL,NULL
20170101080038,745,1639245.28,16562742,201611,NULL,NULL
20170101080039,800,2402271.91,34136799,201611,NULL,NULL
20170101080040,815,3570474.09,87182088,201611,NULL,NULL
20170101080041,820,47846424.45,210143864,201611,NULL,NULL
20170101080042,830,1629339.78,14080412,201611,NULL,NULL
20170101080043,835,2062671.91,26995640,201611,NULL,NULL
20170101080044,845,3280185.23,46290452,201611,NULL,NULL
20170101080045,900,2339245.96,27909515,201611,NULL,NULL
20170101080046,915,9078997.85,81439351,201611,NULL,NULL
20170101080047,920,2560199.96,22774552,201611,NULL,NULL
20170101080048,925,100440.86,0,201611,NULL,NULL
20170101080049,930,3661414.42,0,201611,NULL,NULL
20170101080050,932,279309.23,0,201611,NULL,NULL
20170101080051,933,226590.42,23442439,201611,NULL,NULL
20170101080052,935,1759710.59,12524471,201611,NULL,NULL
20170101080053,940,3453979.22,10307313,201611,NULL,NULL
20170101080054,945,1829465.35,10310721,201611,NULL,NULL
